species_code,common_name
wispet,Wilson's Storm-Petrel
wlswar,Wilson's Warbler
winwre3,Winter Wren
wooduc,Wood Duck
woothr,Wood Thrush
woewar1,Worm-eating Warbler
yebfly,Yellow-bellied Flycatcher
yebcuc,Yellow-billed Cuckoo
yebcha,Yellow-breasted Chat
ycnher,Yellow-crowned Night Heron
yehbla,Yellow-headed Blackbird
yerwar,Yellow-rumped Warbler
yetvir,Yellow-throated Vireo
